Province/State,Country/Region,confirmed,date,deaths,geometry
Iran,Iran,0,2020-02-01,0,"c(53, 32)"
Italy,Italy,2,2020-02-01,0,"c(12, 43)"
"Korea, South","Korea, South",12,2020-02-01,0,"c(128, 36)"
Iran,Iran,0,2020-02-02,0,"c(53, 32)"
Italy,Italy,2,2020-02-02,0,"c(12, 43)"
"Korea, South","Korea, South",15,2020-02-02,0,"c(128, 36)"
Iran,Iran,0,2020-02-03,0,"c(53, 32)"
Italy,Italy,2,2020-02-03,0,"c(12, 43)"
"Korea, South","Korea, South",15,2020-02-03,0,"c(128, 36)"
Iran,Iran,0,2020-02-04,0,"c(53, 32)"
Italy,Italy,2,2020-02-04,0,"c(12, 43)"
"Korea, South","Korea, South",16,2020-02-04,0,"c(128, 36)"
Iran,Iran,0,2020-02-05,0,"c(53, 32)"
Italy,Italy,2,2020-02-05,0,"c(12, 43)"
"Korea, South","Korea, South",19,2020-02-05,0,"c(128, 36)"
Iran,Iran,0,2020-02-06,0,"c(53, 32)"
Italy,Italy,2,2020-02-06,0,"c(12, 43)"
"Korea, South","Korea, South",23,2020-02-06,0,"c(128, 36)"
Iran,Iran,0,2020-02-07,0,"c(53, 32)"
Italy,Italy,3,2020-02-07,0,"c(12, 43)"
"Korea, South","Korea, South",24,2020-02-07,0,"c(128, 36)"
Iran,Iran,0,2020-02-08,0,"c(53, 32)"
Italy,Italy,3,2020-02-08,0,"c(12, 43)"
"Korea, South","Korea, South",24,2020-02-08,0,"c(128, 36)"
Iran,Iran,0,2020-02-09,0,"c(53, 32)"
Italy,Italy,3,2020-02-09,0,"c(12, 43)"
"Korea, South","Korea, South",25,2020-02-09,0,"c(128, 36)"
Iran,Iran,0,2020-02-10,0,"c(53, 32)"
Italy,Italy,3,2020-02-10,0,"c(12, 43)"
"Korea, South","Korea, South",27,2020-02-10,0,"c(128, 36)"
Iran,Iran,0,2020-02-11,0,"c(53, 32)"
Italy,Italy,3,2020-02-11,0,"c(12, 43)"
"Korea, South","Korea, South",28,2020-02-11,0,"c(128, 36)"
Iran,Iran,0,2020-02-12,0,"c(53, 32)"
Italy,Italy,3,2020-02-12,0,"c(12, 43)"
"Korea, South","Korea, South",28,2020-02-12,0,"c(128, 36)"
Iran,Iran,0,2020-02-13,0,"c(53, 32)"
Italy,Italy,3,2020-02-13,0,"c(12, 43)"
"Korea, South","Korea, South",28,2020-02-13,0,"c(128, 36)"
Iran,Iran,0,2020-02-14,0,"c(53, 32)"
Italy,Italy,3,2020-02-14,0,"c(12, 43)"
"Korea, South","Korea, South",28,2020-02-14,0,"c(128, 36)"
Iran,Iran,0,2020-02-15,0,"c(53, 32)"
Italy,Italy,3,2020-02-15,0,"c(12, 43)"
"Korea, South","Korea, South",28,2020-02-15,0,"c(128, 36)"
Iran,Iran,0,2020-02-16,0,"c(53, 32)"
Italy,Italy,3,2020-02-16,0,"c(12, 43)"
"Korea, South","Korea, South",29,2020-02-16,0,"c(128, 36)"
Iran,Iran,0,2020-02-17,0,"c(53, 32)"
Italy,Italy,3,2020-02-17,0,"c(12, 43)"
"Korea, South","Korea, South",30,2020-02-17,0,"c(128, 36)"
Iran,Iran,0,2020-02-18,0,"c(53, 32)"
Italy,Italy,3,2020-02-18,0,"c(12, 43)"
"Korea, South","Korea, South",31,2020-02-18,0,"c(128, 36)"
Iran,Iran,2,2020-02-19,2,"c(53, 32)"
Italy,Italy,3,2020-02-19,0,"c(12, 43)"
"Korea, South","Korea, South",31,2020-02-19,0,"c(128, 36)"
Iran,Iran,5,2020-02-20,2,"c(53, 32)"
Italy,Italy,3,2020-02-20,0,"c(12, 43)"
"Korea, South","Korea, South",104,2020-02-20,1,"c(128, 36)"
Iran,Iran,18,2020-02-21,4,"c(53, 32)"
Italy,Italy,20,2020-02-21,1,"c(12, 43)"
"Korea, South","Korea, South",204,2020-02-21,2,"c(128, 36)"
Iran,Iran,28,2020-02-22,5,"c(53, 32)"
Italy,Italy,62,2020-02-22,2,"c(12, 43)"
"Korea, South","Korea, South",433,2020-02-22,2,"c(128, 36)"
Iran,Iran,43,2020-02-23,8,"c(53, 32)"
Italy,Italy,155,2020-02-23,3,"c(12, 43)"
"Korea, South","Korea, South",602,2020-02-23,6,"c(128, 36)"
Iran,Iran,61,2020-02-24,12,"c(53, 32)"
Italy,Italy,229,2020-02-24,7,"c(12, 43)"
"Korea, South","Korea, South",833,2020-02-24,8,"c(128, 36)"
Iran,Iran,95,2020-02-25,16,"c(53, 32)"
Italy,Italy,322,2020-02-25,10,"c(12, 43)"
"Korea, South","Korea, South",977,2020-02-25,10,"c(128, 36)"
Iran,Iran,139,2020-02-26,19,"c(53, 32)"
Italy,Italy,453,2020-02-26,12,"c(12, 43)"
"Korea, South","Korea, South",1261,2020-02-26,12,"c(128, 36)"
Iran,Iran,245,2020-02-27,26,"c(53, 32)"
Italy,Italy,655,2020-02-27,17,"c(12, 43)"
"Korea, South","Korea, South",1766,2020-02-27,13,"c(128, 36)"
Iran,Iran,388,2020-02-28,34,"c(53, 32)"
Italy,Italy,888,2020-02-28,21,"c(12, 43)"
"Korea, South","Korea, South",2337,2020-02-28,13,"c(128, 36)"
Iran,Iran,593,2020-02-29,43,"c(53, 32)"
Italy,Italy,1128,2020-02-29,29,"c(12, 43)"
"Korea, South","Korea, South",3150,2020-02-29,16,"c(128, 36)"
