HS_code,HS_grouping
`01,Food & beverage
`02,Food & beverage
`03,Food & beverage
`04,Food & beverage
`07,Food & beverage
`08,Food & beverage
`09,Food & beverage
`10,Food & beverage
`11,Food & beverage
`12,Food & beverage
`15,Food & beverage
`16,Food & beverage
`17,Food & beverage
`18,Food & beverage
`19,Food & beverage
`20,Food & beverage
`21,Food & beverage
`22,Food & beverage
`23,Food & beverage
`05,Animal biproducts
`27,Oil
`25,Minerals
`26,Minerals
`44,Wood & products
`45,Wood & products
`46,Wood & products
`47,Wood & products
`48,Wood & products
`49,Wood & products
`72,Metals
`73,Metals
`74,Metals
`75,Metals
`76,Metals
`77,Metals
`78,Metals
`79,Metals
`80,Metals
`81,Metals
`82,Metals
`83,Metals
`68,Stone & glass
`69,Stone & glass
`70,Stone & glass
`71,Stone & glass
`41,"Raw hides, skins, leathers & furs"
`42,"Raw hides, skins, leathers & furs"
`43,"Raw hides, skins, leathers & furs"
`51,Wool
`50,Textiles
`52,Textiles
`53,Textiles
`54,Textiles
`55,Textiles
`56,Textiles
`57,Textiles
`58,Textiles
`59,Textiles
`60,Textiles
`61,Apparel
`62,Apparel
`63,Apparel
`64,Apparel
`65,Apparel
`39,Plastics & rubbers
`40,Plastics & rubbers
`28,Chemicals
`29,Chemicals
`30,Chemicals
`31,Chemicals
`32,Chemicals
`33,Chemicals
`34,Chemicals
`35,Chemicals
`36,Chemicals
`37,Chemicals
`38,Chemicals
`86,Vehicles
`87,Vehicles
`88,Vehicles
`89,Vehicles
`90,Medical devices
`84,Machinery & electrical
`85,Machinery & electrical
`98,Confidential
`06,Other goods
`13,Other goods
`14,Other goods
`24,Other goods
`66,Other goods
`67,Other goods
`91,Other goods
`92,Other goods
`93,Other goods
`94,Other goods
`95,Other goods
`96,Other goods
`97,Other goods
